Model,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std
ARIMA,1.607677068822764,3.6178408649379086,5.588431862875882,13.14075369223036
LSTM,2.7681049815696506,5.348352526131907,9.65518732596044,14.698005298554694
